Baseline,Transect,Total Hits,Hit by loc,Location,prop broine,prop phaaru,prop elyrep,prop conarv,prop cirarv,prop dacglo,prop caremo,prop rha cat,prop symlan,prop taroff,prop scharu,prop syocc,prop salexi,prop medsat,prop typang,prop ulmpum,prop brotec
B5,B5-12.5,28,3,lower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
B5,B5-12.5,28,10,middle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.30,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B5,B5-12.5,28,15,upper ,0.00,0.00,0.00,0.13,0.00,0.27,0.00,0.00,0.13,0.27,0.20,0.00,0.00,0.00,0.00,0.00,0.00
B5,B5-25,31,3,lower,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B5,B5-25,31,8,middle,0.75,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B5,B5-25,31,20,upper ,0.80,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B5,B5-37.5,24,4,lower,0.00,0.00,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B5,B5-37.5,24,3,middle,0.00,0.00,0.67,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B5,B5-37.5,24,17,upper ,0.29,0.00,0.18,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00
B5,B5-50,43,5,lower,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B5,B5-50,43,12,middle,0.75,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B5,B5-50,43,26,upper ,0.62,0.00,0.00,0.23,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B7,B7-0,33,5,lower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.40,0.00,0.00,0.00,0.00,0.00,0.40,0.00
