Baseline,Transect,Total Hits,Hits by Loc,Location,UPL,FACU,FAC,FACW,OBL,Prop UPL,Prop FACU,Prop FAC,Prop FACW,Prop OBL
B14,B14-0,13,3,middle,0,1,2,0,0,0.00,0.33,0.67,0.00,0.00
B14,B14-0,13,9,upper,0,1,8,0,0,0.00,0.11,0.89,0.00,0.00
B14,B14-12.5,28,8,lower,0,0,0,8,0,0.00,0.00,0.00,1.00,0.00
B14,B14-12.5,28,11,middle,0,0,7,4,0,0.00,0.00,0.64,0.36,0.00
B14,B14-12.5,28,9,upper,2,0,6,1,0,0.22,0.00,0.67,0.11,0.00
B14,B14-25,14,2,lower,0,0,1,0,1,0.00,0.00,0.50,0.00,0.50
B14,B14-25,14,4,middle,0,2,2,0,0,0.00,0.50,0.50,0.00,0.00
B14,B14-25,14,8,upper,3,4,1,0,0,0.38,0.50,0.13,0.00,0.00
B14,B14-36.5,14,1,middle,0,1,0,0,0,0.00,1.00,0.00,0.00,0.00
B14,B14-36.5,14,13,upper,9,3,1,0,0,0.69,0.23,0.08,0.00,0.00
B14,B14-36.5,14,0,lower,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
B14,B14-50,15,3,lower,0,2,1,0,0,0.00,0.67,0.33,0.00,0.00
B14,B14-50,15,6,middle,0,6,0,0,0,0.00,1.00,0.00,0.00,0.00
B14,B14-50,15,6,upper,0,2,4,0,0,0.00,0.33,0.67,0.00,0.00
B15,B15-0,11,1,lower,0,0,0,1,0,0.00,0.00,0.00,1.00,0.00
B15,B15-0,11,4,middle,0,0,1,2,1,0.00,0.00,0.25,0.50,0.25
B15,B15-0,11,6,upper,0,0,6,0,0,0.00,0.00,1.00,0.00,0.00
B15,B15-14,31,7,lower,0,0,0,7,0,0.00,0.00,0.00,1.00,0.00
B15,B15-14,31,11,middle,1,0,0,9,1,0.09,0.00,0.00,0.82,0.09
B15,B15-14,31,13,upper,7,0,6,0,0,0.54,0.00,0.46,0.00,0.00
B15,B15-25,28,5,lower,0,0,0,1,4,0.00,0.00,0.00,0.20,0.80
B15,B15-25,28,11,middle,0,0,0,11,0,0.00,0.00,0.00,1.00,0.00
B15,B15-25,28,12,upper,5,0,4,3,0,0.42,0.00,0.33,0.25,0.00
B15,B15-37.5,18,5,lower,0,0,0,5,0,0.00,0.00,0.00,1.00,0.00
B15,B15-37.5,18,4,middle,2,0,0,0,2,0.50,0.00,0.00,0.00,0.50
B15,B15-37.5,18,9,upper,5,0,4,0,0,0.56,0.00,0.44,0.00,0.00
B15,B15-50,17,3,lower,0,0,2,1,0,0.00,0.00,0.67,0.33,0.00
B15,B15-50,17,6,middle,1,0,2,2,1,0.17,0.00,0.33,0.33,0.17
B15,B15-50,17,8,upper,6,0,2,0,0,0.75,0.00,0.25,0.00,0.00
B17,B17-0,17,5,lower,0,0,0,5,0,0.00,0.00,0.00,1.00,0.00
B17,B17-0,17,6,middle,0,0,5,1,0,0.00,0.00,0.83,0.17,0.00
B17,B17-0,17,6,upper,1,0,5,0,0,0.17,0.00,0.83,0.00,0.00
B17,B17-12.5,22,6,lower,1,0,0,5,0,0.17,0.00,0.00,0.83,0.00
B17,B17-12.5,22,7,middle,4,0,0,2,1,0.57,0.00,0.00,0.29,0.14
B17,B17-12.5,22,9,upper,8,1,0,0,0,0.89,0.11,0.00,0.00,0.00
B17,B17-25,16,5,lower,0,0,1,4,0,0.00,0.00,0.20,0.80,0.00
B17,B17-25,16,4,middle,1,0,3,0,0,0.25,0.00,0.75,0.00,0.00
B17,B17-25,16,9,upper,8,1,0,0,0,0.89,0.11,0.00,0.00,0.00
B17,B17-37.5,10,2,lower,0,0,2,0,0,0.00,0.00,1.00,0.00,0.00
B17,B17-37.5,10,4,middle,2,0,1,1,0,0.50,0.00,0.25,0.25,0.00
B17,B17-37.5,10,4,upper,3,0,1,0,0,0.75,0.00,0.25,0.00,0.00
B17,B17-50,8,1,middle,0,1,0,0,0,0.00,1.00,0.00,0.00,0.00
B17,B17-50,8,7,upper,4,1,1,1,0,0.57,0.14,0.14,0.14,0.00
B17,B17-50,8,0,lower,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
B18,B18-0,18,2,lower,0,0,0,2,0,0.00,0.00,0.00,1.00,0.00
B18,B18-0,18,7,middle,0,0,1,6,0,0.00,0.00,0.14,0.86,0.00
B18,B18-0,18,9,upper,4,0,2,3,0,0.44,0.00,0.22,0.33,0.00
B18,B18-12.5,20,7,lower,0,0,0,5,2,0.00,0.00,0.00,0.71,0.29
B18,B18-12.5,20,5,middle,0,0,0,5,0,0.00,0.00,0.00,1.00,0.00
B18,B18-12.5,20,8,upper,8,0,0,0,0,1.00,0.00,0.00,0.00,0.00
B18,B18-25,18,7,lower,0,2,0,4,1,0.00,0.29,0.00,0.57,0.14
B18,B18-25,18,5,middle,5,0,0,0,0,1.00,0.00,0.00,0.00,0.00
B18,B18-25,18,6,upper,6,0,0,0,0,1.00,0.00,0.00,0.00,0.00
B18,B18-37.5,14,6,lower,1,0,1,4,0,0.17,0.00,0.17,0.67,0.00
B18,B18-37.5,14,4,middle,4,0,0,0,0,1.00,0.00,0.00,0.00,0.00
B18,B18-37.5,14,4,upper,4,0,0,0,0,1.00,0.00,0.00,0.00,0.00
B18,B18-50,17,6,lower,0,0,0,4,2,0.00,0.00,0.00,0.67,0.33
B18,B18-50,17,5,middle,1,1,2,0,1,0.20,0.20,0.40,0.00,0.20
